2561.221000000	99.835070
2561.251000000	99.858890
2561.281000000	99.882450
2561.311000000	99.905490
2561.341000000	99.927710
2561.371000000	99.948360
2561.402000000	99.966410
2561.432000000	99.982280
2561.462000000	99.996000
2561.492000000	100.007700
2561.522000000	100.018100
2561.552000000	100.025700
2561.582000000	100.030000
2561.613000000	100.029300
2561.643000000	100.020400
2561.673000000	100.007000
2561.703000000	99.991140
2561.733000000	99.973560
2561.763000000	99.955530
2561.793000000	99.937630
2561.823000000	99.920340
2561.854000000	99.905240
2561.884000000	99.894580
2561.914000000	99.886830
2561.944000000	99.881400
2561.974000000	99.877880
2562.004000000	99.875080
2562.034000000	99.874730
2562.064000000	99.877470
2562.094000000	99.885230
2562.125000000	99.901540
2562.155000000	99.922140
2562.185000000	99.944250
2562.215000000	99.967120
2562.245000000	99.989610
2562.275000000	100.010100
2562.305000000	100.027600
2562.336000000	100.039000
2562.366000000	100.039100
2562.396000000	100.032600
2562.426000000	100.022100
2562.456000000	100.008500
2562.486000000	99.993840
2562.516000000	99.977390
2562.547000000	99.959040
2562.577000000	99.939050
2562.607000000	99.917340
2562.637000000	99.894890
2562.667000000	99.872620
2562.697000000	99.850720
2562.727000000	99.829180
2562.758000000	99.809600
2562.788000000	99.792820
2562.818000000	99.781150
2562.848000000	99.778480
2562.878000000	99.781020
2562.908000000	99.786460
2562.938000000	99.794210
2562.969000000	99.803060
2562.999000000	99.812580
2563.029000000	99.822490
2563.059000000	99.831180
2563.089000000	99.836240
2563.119000000	99.839760
2563.149000000	99.842980
2563.179000000	99.846030
2563.209000000	99.849340
2563.240000000	99.853270
2563.270000000	99.857940
2563.300000000	99.864540
2563.330000000	99.875070
2563.360000000	99.887250
2563.390000000	99.899550
2563.420000000	99.911660
2563.451000000	99.923050
2563.481000000	99.932780
2563.511000000	99.940340
2563.541000000	99.943840
2563.571000000	99.940240
2563.601000000	99.932500
2563.631000000	99.922400
2563.662000000	99.910540
2563.692000000	99.898170
2563.722000000	99.885120
2563.752000000	99.871450
2563.782000000	99.857670
2563.812000000	99.844250
2563.842000000	99.831370
2563.873000000	99.819340
2563.903000000	99.808200
2563.933000000	99.797710
2563.963000000	99.789040
2563.993000000	99.782780
2564.023000000	99.780490
2564.053000000	99.784910
2564.083000000	99.793240
2564.114000000	99.803780
2564.144000000	99.815990
2564.174000000	99.828790
2564.204000000	99.842050
2564.234000000	99.855550
2564.264000000	99.868410
2564.294000000	99.879470
2564.324000000	99.889360
2564.355000000	99.898260
2564.385000000	99.906300
2564.415000000	99.913970
2564.445000000	99.920320
2564.475000000	99.924900
2564.505000000	99.926610
2564.535000000	99.923480
2564.566000000	99.917690
2564.596000000	99.910620
2564.626000000	99.902650
2564.656000000	99.894450
2564.686000000	99.886560
2564.716000000	99.879300
2564.746000000	99.873930
2564.776000000	99.872380
2564.807000000	99.872990
2564.837000000	99.874890
2564.867000000	99.877690
2564.897000000	99.880510
2564.927000000	99.884000
2564.957000000	99.888360
2564.987000000	99.894080
2565.018000000	99.902230
2565.048000000	99.911220
2565.078000000	99.919950
2565.108000000	99.928110
2565.138000000	99.935330
2565.168000000	99.940650
2565.198000000	99.943550
2565.229000000	99.942360
2565.259000000	99.934440
2565.289000000	99.922240
2565.319000000	99.907140
2565.349000000	99.889670
2565.379000000	99.870960
2565.409000000	99.850540
2565.439000000	99.828340
2565.469000000	99.804330
2565.500000000	99.778150
2565.530000000	99.750780
2565.560000000	99.722910
2565.590000000	99.694950
2565.620000000	99.667370
2565.650000000	99.640610
2565.680000000	99.615050
2565.711000000	99.591350
2565.741000000	99.570420
2565.771000000	99.551970
2565.801000000	99.536090
2565.831000000	99.522670
2565.861000000	99.511180
2565.891000000	99.502960
2565.922000000	99.498570
2565.952000000	99.499660
2565.982000000	99.509190
2566.012000000	99.523930
2566.042000000	99.541820
2566.072000000	99.562290
2566.102000000	99.584280
2566.133000000	99.607110
2566.163000000	99.630310
2566.193000000	99.652170
2566.223000000	99.670110
2566.253000000	99.686240
2566.283000000	99.701760
2566.313000000	99.716800
2566.344000000	99.731830
2566.374000000	99.746990
2566.404000000	99.762250
2566.434000000	99.778480
2566.464000000	99.797100
2566.494000000	99.816400
2566.524000000	99.835240
2566.554000000	99.853360
2566.584000000	99.870360
2566.615000000	99.885480
2566.645000000	99.898300
2566.675000000	99.907370
2566.705000000	99.910320
2566.735000000	99.909420
2566.765000000	99.906010
2566.795000000	99.900490
2566.826000000	99.893680
2566.856000000	99.885610
2566.886000000	99.876400
2566.916000000	99.866710
2566.946000000	99.857440
2566.976000000	99.847980
2567.006000000	99.838020
2567.037000000	99.827580
2567.067000000	99.816530
2567.097000000	99.804950
2567.127000000	99.792950
2567.157000000	99.780360
2567.187000000	99.766940
2567.217000000	99.753130
2567.248000000	99.739200
2567.278000000	99.725480
2567.308000000	99.712450
2567.338000000	99.699780
2567.368000000	99.687460
2567.398000000	99.675020
2567.428000000	99.661460
2567.458000000	99.648400
2567.489000000	99.637050
2567.519000000	99.627630
2567.549000000	99.620200
2567.579000000	99.616330
2567.609000000	99.616770
2567.639000000	99.624030
2567.669000000	99.642340
2567.699000000	99.667350
2567.729000000	99.696460
2567.760000000	99.728670
2567.790000000	99.762050
2567.820000000	99.796780
2567.850000000	99.832690
2567.880000000	99.869000
2567.910000000	99.905120
2567.940000000	99.940460
2567.971000000	99.974320
2568.001000000	100.006500
2568.031000000	100.037300
2568.061000000	100.064600
2568.091000000	100.087600
2568.121000000	100.103600
2568.151000000	100.108100
2568.182000000	100.105600
2568.212000000	100.098500
